x3,x4,x5,x6,y,Y_new
0.527,125,15,18.9,7.90E-06,0.79
0.527,125,30,18.9,1.38E-05,1.38
0.527,125,45,18.9,1.60E-05,1.6
0.527,125,60,18.9,1.71E-05,1.71
0.527,125,90,18.9,1.46E-05,1.46
0.527,125,15,18.9,9.21E-06,0.921
0.527,125,30,18.9,1.51E-05,1.51
0.527,125,45,18.9,1.68E-05,1.68
0.527,125,60,18.9,1.79E-05,1.79
0.527,125,90,18.9,1.46E-05,1.46
0.527,125,15,34.6,4.94E-06,0.494
0.527,125,30,34.6,7.73E-06,0.773
0.527,125,45,34.6,9.38E-06,0.938
0.527,125,60,34.6,9.21E-06,0.921
0.527,125,90,34.6,8.06E-06,0.806
0.527,125,15,34.6,5.10E-06,0.51
0.527,125,30,34.6,8.39E-06,0.839
0.527,125,45,34.6,9.54E-06,0.954
0.527,125,60,34.6,9.38E-06,0.938
0.527,125,90,34.6,8.06E-06,0.806
0.527,125,15,55.7,0.00019233,19.233
0.527,125,30,55.7,0.000312268,31.2268
0.527,125,45,55.7,0.000401606,40.1606
0.527,125,60,55.7,0.000429904,42.9904
0.527,125,90,55.7,0.000341389,34.1389
0.527,125,15,55.7,0.000240042,24.0042
0.527,125,30,55.7,0.000363765,36.3765
0.527,125,45,55.7,0.000426284,42.6284
0.527,125,60,55.7,0.000422171,42.2171
0.527,125,90,55.7,0.00033958,33.958
0.488,125,15,34.6,4.69E-06,0.469
0.488,125,30,34.6,8.56E-06,0.856
0.488,125,45,34.6,1.12E-05,1.12
0.488,125,60,34.6,1.15E-05,1.15
0.488,125,90,34.6,0.000011312,1.1312
0.488,125,15,34.6,5.82E-06,0.582
0.488,125,30,34.6,9.86E-06,0.986
0.488,125,45,34.6,1.08E-05,1.08
0.488,125,60,34.6,0.000010504,1.0504
0.488,125,90,34.6,0.000011312,1.1312
0.488,125,15,18.9,7.76E-06,0.776
0.488,125,30,18.9,1.41E-05,1.41
0.488,125,45,18.9,1.83E-05,1.83
0.488,125,60,18.9,2.04E-05,2.04
0.488,125,90,18.9,1.84E-05,1.84
0.488,125,15,18.9,9.21E-06,0.921
0.488,125,30,18.9,1.65E-05,1.65
0.488,125,45,18.9,0.000018584,1.8584
0.488,125,60,18.9,0.000019392,1.9392
0.488,125,90,18.9,1.84E-05,1.84
0.488,125,15,55.7,0.00018891,18.891
0.488,125,30,55.7,0.000361014,36.1014
0.488,125,45,55.7,0.000480598,48.0598
0.488,125,60,55.7,0.000542168,54.2168
0.488,125,90,55.7,0.000507747,50.7747
0.488,125,15,55.7,0.000250803,25.0803
0.488,125,30,55.7,0.000409656,40.9656
0.488,125,45,55.7,0.000474942,47.4942
0.488,125,60,55.7,0.000478336,47.8336
0.488,125,90,55.7,0.000505808,50.5808
0.68,90,30,70,0.000000732,0.0732
0.68,90,60,70,1.76E-06,0.176
0.68,90,90,70,2.29E-06,0.229
0.68,90,30,70,1.00E-06,0.1
0.68,90,60,70,1.94E-06,0.194
0.68,90,90,70,2.25E-06,0.225
0.65,400,15,45,0.000011,1.1
0.65,400,30,45,0.000064,6.4
0.65,400,45,45,0.000158,15.8
0.65,400,60,45,0.000243,24.3
0.65,400,75,45,0.000203,20.3
0.65,400,90,45,0.000189,18.9
0.65,400,15,45,0.000008,0.8
0.65,400,30,45,0.000058,5.8
0.65,400,45,45,0.000137,13.7
0.65,400,60,45,0.000199,19.9
0.65,400,75,45,0.000192,19.2
0.65,400,90,45,0.000165,16.5
0.65,400,15,45,0.000007,0.7
0.65,400,30,45,0.000053,5.3
0.65,400,45,45,0.000088,8.8
0.65,400,60,45,0.000177,17.7
0.65,400,75,45,0.000159,15.9
0.65,400,90,45,0.000139,13.9
0.65,400,15,85,0.00007,7
0.65,400,30,85,0.000192,19.2
0.65,400,45,85,0.000468,46.8
0.65,400,60,85,0.000636,63.6
0.65,400,75,85,0.000569,56.9
0.65,400,90,85,0.000497,49.7
0.65,400,15,85,0.000034,3.4
0.65,400,30,85,0.000178,17.8
0.65,400,45,85,0.00042,42
0.65,400,60,85,0.000528,52.8
0.65,400,75,85,0.000497,49.7
0.65,400,90,85,0.000446,44.6
0.65,400,15,85,0.000019,1.9
0.65,400,30,85,0.000098,9.8
0.65,400,45,85,0.000209,20.9
0.65,400,60,85,0.000317,31.7
0.65,400,75,85,0.000377,37.7
0.65,400,90,85,0.000451,45.1
0.56,400,15,45,1.64E-05,1.64
0.56,400,30,45,7.46E-05,7.46
0.56,400,45,45,0.000136585,13.6585
0.56,400,60,45,0.000239657,23.9657
0.56,400,75,45,0.000193496,19.3496
0.56,400,90,45,0.000130894,13.0894
0.56,400,15,45,1.39E-05,1.39
0.56,400,30,45,5.63E-05,5.63
0.56,400,45,45,0.000119512,11.9512
0.56,400,60,45,0.000221951,22.1951
0.56,400,75,45,0.000139115,13.9115
0.56,400,90,45,0.000111292,11.1292
0.56,400,15,45,1.07E-05,1.07
0.56,400,30,45,3.67E-05,3.67
0.56,400,45,45,9.55E-05,9.55
0.56,400,60,45,0.000172629,17.2629
0.56,400,75,45,0.000110659,11.0659
0.56,400,90,45,9.30E-05,9.3
0.56,400,15,45,8.10E-06,0.81
0.56,400,30,45,5.67E-05,5.67
0.56,400,45,45,0.000149767,14.9767
0.56,400,60,45,0.000255819,25.5819
0.56,400,75,45,0.000202388,20.2388
0.56,400,90,45,0.000176483,17.6483
0.56,400,15,45,2.75E-05,2.75
0.56,400,30,45,7.61E-05,7.61
0.56,400,45,45,0.000223437,22.3437
0.56,400,60,45,0.000276867,27.6867
0.56,400,75,45,0.0002542,25.42
0.56,400,90,45,0.000222627,22.2627
0.56,400,15,45,4.21E-05,4.21
0.56,400,30,45,0.000106051,10.6051
0.56,400,45,45,0.000246104,24.6104
0.56,400,60,45,0.000297916,29.7916
0.56,400,75,45,0.000284963,28.4963
0.56,400,90,45,0.000260676,26.0676
0,113,15,26.88,0.0000326,3.26
0,113,30,26.88,0.0000231,2.31
0,113,45,26.88,0.0000177,1.77
0,113,60,26.88,0.0000148,1.48
0,113,75,26.88,0.0000128,1.28
0,113,90,26.88,0.0000078,0.78
0.4,113,30,26.88,0.0001272,12.72
0.4,113,45,26.88,0.000099,9.9
0.4,113,60,26.88,0.0000744,7.44
0.4,113,90,26.88,0.0000518,5.18
